City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
580,Usinsk,RU,69.49,scattered clouds,65.9939,57.5281,Dobro Pozhalovaty
581,Carbondale,US,88.02,clear sky,37.7273,-89.2168,Best Western Saluki Inn
582,Dingle,PH,81.12,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
583,El Retorno,CO,73.08,overcast clouds,2.3302,-72.6276,Hostal la posada de Rita
586,Beauceville,CA,73.06,scattered clouds,46.2179,-70.7787,Motel Royal
588,Kuala Lipis,MY,74.03,broken clouds,4.1842,102.0468,Lipis Centrepoint Hotel
590,Nanning,CN,81.05,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
592,Khartoum,SD,83.01,scattered clouds,15.5518,32.5324,Hotel China
594,Asfi,MA,69.26,clear sky,32.2994,-9.2372,Hôtel Abda
595,Monrovia,LR,75.42,light rain,6.3005,-10.7969,Sunset Inn
598,Camopi,GF,72.27,overcast clouds,3.1655,-52.3158,La pousada
599,Mecca,SA,88.84,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
601,Nautanwa,IN,86.29,clear sky,27.4333,83.4167,Plot: S S Srivastava
